"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"12567"	6041	3230	4141	4606	4773	4429	7389	5805	5814	2652	5694	462	4530	5212
"67125"	1698	1569	1032	1426	1395	1495	1867	1934	1644	749	1892	215	1641	1712
"100504703"	35	23	35	9	24	16	32	23	21	28	9	2	22	9
"216439"	4	2	2	0	2	4	1	0	0	1	0	0	4	3
"216440"	3244	4442	2178	2070	2614	3319	2786	4361	3119	1947	2174	1350	3186	2836
"14421"	5302	5548	3010	3508	4192	5219	4915	4901	4348	2443	3344	846	3680	4331
"216441"	8	38	16	14	20	32	14	8	13	5	18	2	24	22
"52666"	3	5	6	20	0	3	11	18	3	3	28	4	17	36
"80904"	50	74	105	229	41	98	190	328	60	69	254	8	426	348
"100038591"	9	19	10	15	9	17	10	21	19	21	18	7	28	18
"117150"	1129	1988	658	1471	856	1984	1347	1695	1503	673	1666	255	2129	1779
"16572"	3	5	1	0	0	9	2	2	1	0	4	0	2	4
"69654"	2388	3011	1450	2190	1814	3138	2862	2435	2405	1332	2647	623	3473	3303
"110962"	936	891	727	929	708	1316	1143	1697	1002	624	940	147	1324	1236
"13198"	425	349	275	411	302	615	361	1249	232	152	86	98	339	277
"216443"	3532	2605	1809	4418	2496	4434	3590	5699	3382	1470	3539	307	3708	3948
"216445"	66	40	56	56	42	56	60	112	62	36	32	7	29	40
"14632"	4	1	0	0	0	0	0	3	0	0	0	0	0	0
"16326"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16325"	0	0	2	1	0	0	1	0	0	0	0	0	0	2
"71750"	2416	3007	2521	2676	1988	2320	2398	6454	2514	2880	1998	1562	2491	2478
"237611"	8	9	9	4	4	14	6	14	16	5	11	0	7	10
"407790"	147	99	74	43	103	72	87	107	87	61	68	9	58	47
"108037"	5222	2960	3221	6062	3838	5640	6022	9759	3974	2075	5419	274	3970	4762
"104080"	7	1	4	3	7	4	6	3	7	4	2	0	2	4
"16971"	1868	2994	1048	628	1247	2171	1490	938	2545	1285	580	342	3155	539
"20852"	3772	4516	2958	4557	2989	5191	5221	7149	4405	2682	5040	615	4744	4489
"17937"	430	815	312	706	360	800	628	1117	448	201	449	59	482	603
"72243"	18	12	8	16	6	11	21	32	9	7	10	9	17	12
"210035"	509	491	625	1113	369	617	992	1626	786	736	1143	34	748	673
"432516"	7059	19401	3133	3691	5172	17314	4989	4219	10167	5261	2958	3971	8244	4088
"21334"	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"320080"	634	714	1005	1102	546	817	1372	1798	958	752	1013	138	1492	1028
"11536"	12	10	21	2	5	15	9	15	10	19	14	1	11	7
"107605"	46	25	88	21	27	18	109	106	106	428	7	3	138	12
"103142"	34	71	53	22	26	110	100	188	118	269	6	18	251	29
"19683"	2	7	5	1	10	9	13	23	11	27	1	0	21	0
"380674"	63	56	16	0	56	14	24	11	36	31	1	8	8	0
"216453"	83	62	19	0	68	6	13	13	29	38	0	16	9	1
"216454"	11	24	2	1	20	4	4	4	14	4	4	6	9	1
"54150"	789	636	36	0	536	102	69	0	209	6	2	50	7	6
"70061"	18	10	6	1	6	2	4	4	14	1	5	3	2	2
"27400"	203	128	9	2	229	35	25	5	17	7	0	19	2	0
"19075"	1331	619	1211	1279	1056	690	1543	1694	1313	1127	1739	203	921	1071
"17938"	9359	6912	6741	7935	7251	7056	11249	10058	9042	5769	8516	2235	8414	8887
"56351"	1648	1391	1297	1581	1326	1132	1839	2098	1600	1031	2059	285	1365	1397
"100862107"	1	0	3	0	4	1	4	1	5	2	4	0	3	0
"11947"	44965	40626	25928	31632	34162	41047	53450	34552	41095	18814	39717	4692	35879	36336
"751518"	4	0	3	4	2	3	8	1	6	2	6	0	9	6
"116848"	3541	5955	3216	4731	2794	5381	4417	7349	4947	3728	5593	1446	5757	4764
"56516"	1185	1061	1279	1309	995	957	1620	1954	1374	1165	1562	374	1398	1435
"216456"	315	122	231	221	297	91	478	105	127	98	370	11	96	138
"66701"	468	389	228	373	363	326	473	468	415	172	489	41	285	433
"17339"	2	0	2	2	2	1	1	0	3	1	5	3	4	0
"21853"	907	508	856	987	633	655	1250	1132	986	754	1290	96	872	802
"28194"	1	5	0	4	1	3	3	15	2	3	5	0	5	4
"103161"	4	0	0	0	0	0	1	0	0	2	1	0	0	3
"20847"	651	711	830	563	410	850	1008	1178	824	892	505	152	1072	1153
"83430"	6	1	2	11	4	2	2	10	0	1	0	1	7	3
"103135"	1240	1215	981	1058	889	1100	1368	1742	1263	859	1100	209	1319	1043
"56530"	1401	995	817	1230	1024	1313	1431	1945	1275	675	1069	161	1146	1333
"12974"	12599	16351	8802	10255	9929	13195	16342	10727	12046	6598	12904	1863	11917	11615
"210582"	285	200	161	176	170	232	355	237	251	145	138	13	259	144
"237615"	1806	2408	1613	2391	1474	2452	2062	3384	2344	1595	4425	329	2890	2431
"72002"	1810	1062	286	58	1098	1228	773	77	1475	245	71	100	300	73
"69917"	1676	1748	1876	1260	1733	1270	1706	3321	1246	1533	1667	776	1239	1365
"67588"	475	546	297	507	389	657	562	799	566	302	591	43	589	633
"68094"	3053	4221	3215	3708	2791	3581	3330	7273	3867	3838	3725	1740	4332	3801
"17904"	2971	5023	2523	2751	2559	4343	3158	4534	2827	2283	2928	875	3879	3733
"216459"	13	19	37	22	14	24	35	55	29	18	63	11	75	16
"100502705"	33	45	33	19	40	51	70	46	50	38	22	10	45	12
"23943"	676	970	580	1293	521	1517	1177	2009	910	582	1845	94	1633	1483
"103284"	384	326	288	361	336	404	634	583	442	252	477	32	456	346
"67945"	7878	6440	5606	5842	7286	5275	7331	8453	5983	3527	4887	835	5364	5707
"18813"	8808	7016	7827	9498	7441	6660	9259	16536	7250	6396	12888	2793	6975	9614
"13867"	2219	5130	1570	3546	1663	5192	2856	4650	4299	2125	3074	763	5819	4805
"668459"	40	41	26	53	39	49	48	109	37	23	50	9	32	49
"27370"	8288	6667	8227	6647	8557	6190	8535	14632	7299	6600	5081	1472	6177	6735
"22781"	4	7	2	5	1	6	4	9	3	3	7	0	5	15
"211389"	224	1618	247	2088	228	6875	442	9263	2195	1219	2115	246	5501	1914
"19344"	1337	1789	1070	1440	1095	1742	1645	1742	1769	969	1418	248	1924	1821
"12566"	953	620	793	853	779	949	1414	1106	1237	746	1337	68	1071	749
"20431"	38	23	14	27	23	43	37	37	45	25	28	5	42	32
"13139"	508	1810	386	1111	455	1681	656	1396	952	519	1483	367	1628	1443
"78428"	521	470	394	500	451	405	586	855	422	316	520	151	586	617
"58223"	0	0	1	3	2	0	0	2	4	2	5	0	5	5
"73827"	68	57	104	106	58	106	137	186	120	71	112	9	156	128
"74330"	942	1368	732	1354	699	1200	1180	1839	1232	737	1376	206	1377	1442
"66844"	400	467	219	331	270	472	456	333	464	206	492	26	474	434
"66118"	579	534	789	551	517	410	590	1108	546	756	806	370	568	574
"14561"	5	13	30	30	2	13	19	105	21	32	50	15	49	22
"12512"	2644	2596	1635	2096	2148	2725	2709	2731	2768	1274	2402	449	3432	2600
"19682"	24	14	14	6	12	15	24	6	17	9	7	0	15	7
"14533"	322	319	182	216	227	344	391	214	315	140	254	44	362	334
"16404"	133	118	35	14	78	167	79	45	200	44	9	12	91	12
"71664"	128	268	103	112	74	303	257	200	185	137	59	45	306	188
"18373"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258861"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"622733"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"544748"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"546487"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258315"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258863"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257667"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100862148"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"258862"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258540"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257666"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257664"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258232"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258538"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"404321"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258537"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258723"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257985"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258724"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258542"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258069"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258544"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258935"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258932"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258375"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258549"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258541"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258282"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258934"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258547"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258548"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258546"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"258931"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258930"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258321"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258543"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258545"	0	0	0	0	0	0	0	0	0	0	0	8	0	0
"258791"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258252"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"259165"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258665"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258667"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258773"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100043200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258266"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258670"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258772"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258666"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258668"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258669"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258672"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258671"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11923"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"67596"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"625068"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"623734"	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"625109"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"625131"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"434624"	39	38	9	17	64	46	31	38	31	12	57	4	45	34
"236604"	1671	1655	1510	1592	1040	1442	2563	2009	1895	1144	2344	125	2990	2616
"78887"	248	184	206	162	119	228	298	243	290	165	277	32	381	274
"74203"	1787	2081	1865	2119	1536	1589	1980	3725	1979	1945	2510	649	2149	1992
"13494"	1725	1652	1110	2353	1229	1795	2142	2660	1878	860	2609	285	2019	2674
"56218"	527	314	459	681	446	462	749	929	683	347	793	57	651	644
"791413"	14	5	14	9	8	2	12	21	8	17	22	0	20	15
"100302648"	19	12	35	15	18	13	18	37	28	27	27	1	31	18
"216505"	53	78	60	47	43	59	101	76	78	59	57	7	120	75
"16886"	4704	4149	4038	6194	3474	4639	7945	6710	5491	3130	5683	458	6006	6857
"193670"	672	958	469	687	553	926	812	1080	791	431	754	152	1127	775
"71523"	186	144	171	102	174	114	153	164	216	164	149	59	122	109
"237625"	21	9	8	2	18	13	26	12	44	15	3	0	23	3
"170835"	620	500	447	293	452	793	922	564	998	564	544	36	1085	331
"114679"	622	357	223	119	516	810	461	313	1157	314	56	23	561	110
"29856"	477	259	411	270	375	363	518	450	466	369	432	52	440	262
"544752"	3026	3910	2913	3020	2542	3253	2721	5770	3998	3359	3128	736	3975	3098
"74522"	1209	1406	1154	2331	964	1666	1524	4517	1602	1261	2559	458	2164	2381
"74309"	3	9	4	3	0	8	14	9	9	4	11	0	11	3
"67430"	59	53	47	61	36	99	45	150	107	59	70	17	98	54
"75219"	325	773	368	923	250	806	554	1188	443	345	1198	153	1100	1250
"100862138"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"103710"	23	172	26	363	19	188	61	286	48	27	345	10	305	552
"21452"	1930	2289	860	433	1496	1751	1435	808	2014	920	495	259	1545	812
"75342"	1	1	1	2	1	2	0	0	1	0	3	0	3	2
"64934"	2236	1891	1681	2553	1783	2093	2487	3744	2102	1205	2814	545	2094	2883
"53897"	396	742	160	263	335	452	417	171	396	144	278	57	603	471
"100862181"	837	1094	858	913	707	869	905	1610	854	792	1166	451	951	1036
"103655"	0	1	1	2	1	1	0	0	2	1	1	0	4	1
"380683"	0	1	0	0	0	0	0	0	0	0	1	0	0	1
"67900"	507	285	318	316	350	243	530	312	206	141	438	49	240	271
"67815"	904	1279	387	322	859	558	575	374	654	342	580	174	463	335
"71673"	133	147	97	138	91	173	198	151	168	90	178	9	211	167
"100526466"	3	3	0	2	0	0	0	0	2	3	0	0	1	2
"216516"	70	64	72	87	55	68	89	75	103	53	129	6	161	115
"67465"	3108	2902	2660	3525	2414	2902	3529	5674	2934	2157	4605	730	3190	3559
"103724"	203	161	129	261	144	256	355	273	223	69	366	11	364	319
"71962"	15	31	5	24	18	25	22	18	24	3	16	1	30	23
"18413"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16878"	210	769	149	677	117	552	308	640	253	130	412	95	646	871
"75828"	0	0	2	1	0	4	0	3	5	0	1	3	1	0
"74302"	2051	2000	1364	2015	1607	2227	2430	2971	2838	1302	1775	280	2511	1822
"327860"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"75452"	1500	1617	1210	1563	1177	1719	1413	2378	1685	1165	1533	306	1646	1669
"66152"	2313	1629	1218	1207	1756	1800	3170	1385	2421	899	1918	216	2238	1545
"67178"	253	208	163	182	160	221	334	201	223	106	252	11	279	227
"192650"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"18016"	2657	3341	1998	2972	2285	3291	3046	4524	3709	2272	3309	582	3594	2663
"18082"	2639	1560	1508	1227	2078	1543	2334	1448	2446	1047	1438	275	1484	1155
"107829"	949	1054	808	1046	719	1015	1094	1665	904	646	1446	265	1097	1309
"380684"	23	41	34	86	18	79	35	349	61	68	45	36	66	67
"11764"	2278	2562	1055	2429	1656	2812	2193	2662	2624	968	2613	503	2724	3101
"100038587"	2	5	1	0	1	1	1	0	0	0	3	0	3	6
"78926"	520	709	352	655	467	788	837	988	627	283	855	107	1153	878
"75668"	2	4	0	6	2	1	1	0	3	1	6	0	7	2
"14030"	4401	3522	3857	4096	3393	3396	5100	5744	4070	3324	5113	899	4749	4987
"279766"	315	118	145	192	193	212	336	261	269	83	188	10	226	177
"140703"	58	1	6	0	18	1	19	0	32	3	0	0	0	0
"84035"	613	751	363	763	469	832	839	761	676	316	952	81	1007	1072
"407821"	557	440	515	844	452	508	837	1363	703	547	893	103	842	678
"22433"	5154	5007	2246	3268	4129	5117	4090	4638	5094	1624	2174	578	3573	2561
"104479"	737	649	609	811	532	649	984	892	912	549	982	56	888	585
"76389"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"665181"	521	707	383	315	443	456	348	651	314	284	367	200	347	406
"64660"	727	477	322	394	467	677	823	481	700	203	665	53	617	618
"72046"	894	1689	395	1157	714	1546	945	1100	963	362	997	222	1013	1221
"76508"	147	100	86	109	111	154	152	167	134	78	107	7	129	99
"13169"	2973	3339	2028	2399	2500	3662	3351	3868	3048	2013	2795	549	3320	2699
"56012"	15	17	12	10	10	23	21	14	31	6	9	0	31	4
"54125"	359	357	268	317	316	459	565	475	417	305	428	77	502	411
"11568"	5	4	15	8	7	9	21	17	11	2	2	0	4	2
"18972"	2171	1231	1264	1505	1718	1665	2153	1750	1776	907	1559	143	1191	1186
"17898"	128	228	81	150	110	318	219	182	247	129	85	82	500	173
"103988"	30	15	10	5	14	24	26	9	28	5	4	1	19	4
"56418"	2615	3063	1421	2003	2166	2838	2620	2759	2578	1210	2808	378	2995	2457
"12323"	287	222	270	223	152	315	402	613	344	293	148	106	655	197
"100861932"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"209586"	1477	1520	1168	1884	1100	1772	2302	2074	1754	984	2737	193	2357	1991
"100042173"	707	431	365	529	521	487	832	558	613	245	483	63	560	535
"237636"	3892	7928	1047	384	3348	3714	2654	342	3749	1052	143	760	957	338
"52513"	1539	1209	829	1577	1068	1550	1789	1678	1306	555	1791	122	1379	1677
"100861956"	69	99	22	43	43	75	69	50	65	24	62	9	107	55
"103694"	2242	2940	942	1076	1744	1774	1764	1506	1954	885	1139	260	1530	1060
"18293"	8875	14810	4626	6157	6559	8961	7624	9065	7475	3937	8568	2173	7715	7363
"52915"	1755	1633	1223	1534	1540	2180	2042	2639	1831	1143	2581	309	2023	1730
"268373"	5753	4257	3069	4225	4521	4947	6368	4045	5188	1792	5900	360	5040	5052
"77605"	1693	1032	1112	772	1390	1259	1954	890	1989	981	955	144	1593	844
"19291"	6975	9309	5650	8851	5736	7699	6041	15792	9150	6797	8907	1820	9815	7443
"246177"	0	2	1	1	1	1	0	1	2	0	0	0	1	2
"100861985"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100041286"	195	132	122	197	159	175	270	347	164	107	234	26	294	361
"216527"	501	507	352	616	375	618	627	932	529	328	675	113	568	605
"192950"	3	3	3	3	0	4	2	2	1	0	1	0	5	4
"21379"	2156	1580	1250	1720	1643	1759	2420	2451	1760	769	2566	218	2172	2268
"100217467"	8	4	2	4	2	3	1	5	5	0	4	0	2	6
"22373"	0	0	0	2	0	1	0	0	1	1	0	0	0	0
"100041311"	0	0	1	1	3	0	2	0	1	0	2	3	0	0
"56089"	9	4	2	2	6	5	8	3	6	0	7	1	13	9
"626419"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"665343"	5	2	6	5	6	4	2	10	11	6	4	5	7	4
"432530"	98	22	10	8	90	14	31	7	54	4	25	0	20	14
"100041347"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16006"	2	5	3	3	0	3	7	2	1	0	0	0	1	0
"16009"	15	45	5	39	16	41	3	54	2	3	45	7	16	98
"100503529"	2	3	14	9	11	4	9	16	5	11	4	4	11	12
"319939"	1585	3109	2812	6658	1349	3698	4637	7643	3815	3216	11500	452	9428	8288
"171395"	1	1	0	13	0	2	2	8	0	0	9	4	7	17
"15574"	367	335	268	524	306	283	458	625	356	159	826	55	310	477
"194974"	11	15	0	2	7	6	5	2	3	1	0	0	2	0
"626870"	34	48	29	14	18	15	29	5	13	16	7	4	9	29
"22271"	182	199	109	61	111	63	212	61	26	23	22	23	79	53
"268379"	0	2	0	0	0	1	0	0	0	0	0	0	0	0
"319922"	0	5	0	0	0	4	0	0	0	0	0	3	0	0
"53604"	0	0	2	1	0	2	0	3	0	2	0	0	1	0
"432534"	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"73862"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22778"	0	0	0	1	0	0	0	0	0	0	2	0	0	5
"60530"	1129	660	1013	1433	887	650	1389	1443	1229	878	1951	117	883	1001
"13195"	2077	4036	511	883	1676	1240	920	682	1264	389	1616	480	1350	1133
"73321"	0	3	0	0	0	1	0	3	1	0	1	2	3	1
"14783"	286	118	39	179	215	601	72	1437	193	55	11	8	45	43
"12808"	2285	7478	1703	4024	1901	5024	2404	6907	4412	2868	4414	1542	6128	5309
"100503630"	0	1	0	0	1	0	1	3	0	0	0	0	1	2
"73307"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"432536"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"211739"	2	1	0	0	4	0	0	0	1	0	0	0	0	0
"20335"	13	12	18	21	31	30	22	30	19	11	16	21	14	18
"665689"	296	268	274	406	227	240	268	806	261	226	421	111	363	395
"13649"	839	2064	803	2823	701	1398	1163	3245	1104	879	2342	622	1931	4163
"319954"	3	11	6	13	2	4	7	16	2	1	19	8	14	27
"72735"	57	12	64	15	42	17	52	19	48	55	16	2	13	6
"319701"	55	55	81	60	58	51	58	129	91	124	75	18	60	61
"56193"	6	8	13	18	6	5	18	9	14	24	2	1	15	19
"380686"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19058"	3209	4709	2660	4178	2870	3715	3112	6310	4134	2703	4192	1329	3914	4010
"66249"	1505	1508	1022	1732	1331	1392	1470	2497	1575	788	2304	307	1500	1876
"103784"	651	547	481	630	513	593	672	991	560	421	649	127	531	641
"57316"	1261	1491	866	1071	900	966	1101	1363	1107	766	1174	277	1057	1266
"68145"	508	374	490	677	378	374	574	1088	693	535	826	114	601	571
"100502821"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17268"	0	3	0	5	0	2	0	15	0	0	4	7	0	14
"100503713"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"74059"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"635455"	50	37	29	70	51	53	48	102	44	29	63	19	59	75
"114716"	634	1358	910	1678	581	1377	1201	2518	1088	975	1552	309	1732	1613
"66713"	6970	12940	5016	10655	5435	9996	7460	10965	8401	4935	13726	2160	11946	12773
"19324"	8665	15332	6720	8481	7221	9140	7911	10847	8843	6200	8988	3722	9207	9427
"216543"	780	675	732	1120	652	729	1029	1565	1129	660	1308	87	903	930
"55963"	4520	3219	2616	3814	2974	4486	3983	6952	4811	1736	2759	424	3946	3052
"58172"	1245	2278	686	1326	1011	1639	971	1755	1383	741	1315	278	1895	1312
"216549"	2125	3338	1862	3314	1628	2649	2213	5304	2675	2060	3015	696	3268	3212
"216551"	717	2879	653	2132	581	2324	941	2563	1364	879	1652	614	2213	2448
"67245"	956	1829	611	922	792	1266	836	2225	1176	944	734	488	1333	1014
"245944"	2358	4129	1972	3108	1997	3248	2250	5208	3080	2446	2865	893	3588	2599
"216558"	5188	8099	2665	3397	4329	5572	3586	4435	5195	2891	3929	1343	4997	3739
"100316753"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"237694"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17449"	8183	8015	4662	3780	6148	6281	9245	3527	6771	3383	5777	1197	5795	4634
"216560"	25	43	30	41	28	30	44	39	30	30	51	8	47	77
"18423"	1	0	0	1	0	0	1	1	0	0	0	0	0	0
"216565"	480	721	520	662	405	441	527	1226	664	593	524	264	557	766
"103765"	37	14	38	41	36	21	46	71	48	28	35	8	26	51
"53625"	994	1304	865	1811	895	924	1361	2416	942	700	1613	366	1749	1743
"17846"	1200	902	712	846	993	822	1222	1072	987	534	1028	256	883	903
"22183"	153	256	231	183	158	151	225	344	163	241	186	111	268	188
"12464"	8887	7309	5135	10385	6527	7867	10383	10745	8995	4193	10812	1061	7603	10715
"73873"	3	1	0	0	0	6	1	0	5	2	2	5	2	0
"100042875"	3	2	0	7	2	2	3	4	3	2	7	0	4	8
"103573"	5893	5959	5735	7118	4760	4768	5380	10273	6791	5624	9648	1343	6008	5056
"17847"	2808	6610	3127	6590	2446	5251	3598	10730	5782	4480	6998	1631	6751	5772
"268390"	430	619	374	466	369	427	570	652	510	315	730	143	472	451
"72246"	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"67358"	3	1	4	0	0	0	2	2	2	2	1	0	1	1
"100134990"	12	20	11	15	4	26	27	26	23	7	32	0	31	29
"71675"	606	1034	602	1254	552	817	720	1743	853	664	1396	266	883	1226
"72129"	1042	1106	666	798	784	858	846	1211	1034	621	842	182	802	689
"74467"	863	907	737	1258	638	779	873	1704	901	660	1605	257	991	1153
"19696"	75	240	101	316	55	158	95	511	181	148	404	92	289	335
"216578"	363	551	418	533	262	436	406	961	522	598	597	160	508	469
"268391"	0	0	0	2	0	0	0	0	2	0	0	0	0	0
"14025"	554	383	636	752	593	480	594	1567	762	678	425	76	679	369
"71316"	1	0	0	0	0	2	0	0	0	0	0	0	1	1
"100038617"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"71234"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"70626"	1	2	0	1	0	2	0	0	0	1	0	0	0	0
"67030"	233	162	204	224	190	228	312	227	282	141	251	14	221	205
"69922"	294	218	240	287	211	146	333	307	292	215	274	52	230	239
"654472"	4330	4430	1765	2293	3039	5476	4619	2326	3401	908	2249	373	3625	2629
"216613"	0	2	0	3	0	0	0	0	0	0	0	0	0	2
"72818"	0	0	0	0	0	0	0	0	0	0	0	0	0	4
"735308"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"387212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"387213"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"216616"	0	1000	80	1804	1	126	145	591	6	13	1421	490	250	2888
"71701"	1811	1932	2019	2281	1743	1382	1960	3559	2045	1835	2849	676	1729	2046
"104570"	2966	4442	2863	4172	2418	3256	2704	7673	3815	3372	4019	1224	3605	3519
"216618"	138	207	217	350	120	195	197	795	193	187	483	157	259	423
"108686"	1	8	12	15	5	6	6	63	12	26	15	3	17	16
"67939"	188	189	155	182	150	172	201	276	179	132	191	33	226	157
"76784"	1219	1343	1245	1232	1014	1026	1456	2023	1426	1196	1488	379	1289	1193
"78294"	1840	1133	651	1301	1223	1318	2129	1119	1807	473	1450	168	1438	1573
"73324"	3	5	3	6	0	2	5	22	4	2	7	7	10	3
"68585"	2919	6425	2692	6438	2369	7479	4204	7944	5308	3376	6749	1111	8334	8326
"237711"	15	38	24	42	8	42	29	87	44	31	41	19	48	43
"216622"	1	7	1	5	0	28	9	30	17	19	7	1	13	9
"20742"	8166	19205	8486	14905	6549	17074	10362	23205	14818	13562	16586	4325	19061	16880
"75087"	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"75572"	1	2	1	5	2	3	2	22	3	4	9	0	5	3
"103554"	4138	6375	3507	5327	3493	5821	4665	7042	6016	3809	8508	1335	7227	5620
"237716"	0	5	2	2	1	4	1	1	1	1	3	2	5	2
"66753"	1237	1343	1255	1330	958	1256	1369	2541	1509	1519	942	424	1546	1594
"65257"	156	209	165	378	129	246	273	525	225	171	332	59	336	393
"68044"	403	644	319	554	326	335	335	998	338	313	354	117	326	554
"20856"	2682	2329	1422	3508	2118	4337	2219	9127	2420	1241	932	160	2204	2424
"69556"	696	526	491	681	534	667	896	1033	759	410	891	147	812	824
"67579"	99	904	87	321	136	569	149	485	381	303	375	253	718	480
"67592"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18197"	1	0	0	0	0	0	0	1	1	0	0	0	0	0
"100862121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104692"	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"16199"	1	0	0	1	0	2	4	3	2	0	1	1	9	6
